IC50,Cancer,Drug,From_Sanger,Fingerprint_833,Fingerprint_830,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_780,Fingerprint_779,Fingerprint_712,Fingerprint_710,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_672,Fingerprint_669,Fingerprint_656,Fingerprint_650,Fingerprint_646,Fingerprint_644,Fingerprint_617,Fingerprint_611,Fingerprint_576,DOM_FAT,MUT_MAST2,MUT_MAST2_EXP,SFAM_MAST_EXP,FAM_PKL_EXP,EXP_HASPIN,EXP_FER,EXP_MAP3K1,EXP_MAST4,EXP_MAP3K12,EXP_TRPM6,EXP_BLK_X_EXP_CBL,EXP_BLK_X_EXP_DAPP1,EXP_GRK7_X_EXP_CCR8,EXP_LRRK2_X_EXP_RAB29,EXP_LRRK2_X_EXP_TFDP1,EXP_LRRK2_X_EXP_TUBB4B,EXP_MAP3K12_X_EXP_MAPK8IP1,EXP_MAP3K1_X_EXP_NRK,EXP_MAP3K1_X_EXP_SP1,EXP_MAPK14_X_EXP_ACTA1,EXP_MAPK14_X_EXP_DLG1,EXP_MAPK14_X_EXP_ESR1,EXP_RAF1_X_EXP_GP1BA,EXP_RAF1_X_EXP_REM1,EXP_RAF1_X_EXP_SCNN1G,Predicted IC50,Validation
5.150888,753620,1203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3.995572653,5.477221528,8.640029765,3.449660341,4.773320002,3.049815998,12.9704558,9.539951598,9.184856494,18.27636177,19.33695361,31.93912533,17.94990322,24.98614708,49.13443381,15.10357654,22.11501766,14.18735987,21.41181021,21.46602319,19.80283688,5.8412809161,7
4.144088,906803,1203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3.753747172,5.58970471,7.880418336,3.229875453,3.528727165,3.069443066,14.37868044,8.998003639,9.406980188,29.966422,26.32435616,44.90775741,10.13995101,21.91227919,38.87031413,17.60117621,29.25719087,17.59116599,19.89535799,19.6715681,16.8339033,4.2273710793,6
1.804774,907314,1203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,3.878066865,3.878066865,0,3.935271857,5.938098173,10.07601766,3.344626516,4.158510111,3.31585205,15.43678801,10.12427998,8.741863604,11.22563139,20.99540332,32.84475229,13.8520646,29.69782705,54.66406651,16.61617793,26.55039049,15.13946019,23.08908686,23.68406822,20.77874924,2.6168406123,9
5.10661,908447,1203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3.583277505,5.954975638,10.52423598,3.391286815,4.09556059,3.054499444,12.15020502,9.002631042,9.186970341,14.15379003,18.71526539,31.68911723,13.20154094,29.99061041,59.51954453,16.0707921,26.56100648,15.23389387,20.58686832,21.68810887,19.54237166,5.2346288447,9
4.17348,910780,1203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5.045812661,5.913073811,9.970720278,3.278228826,3.769665116,2.875237838,13.75654218,8.611779365,9.051686809,19.90007719,19.99869862,34.28622795,11.07962023,27.73815474,58.65861453,17.03316462,23.88841183,16.1918747,24.53127684,23.02729807,21.45159314,4.1804096442,2
4.498111,949171,1203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,3.80143154,0,3.43384796,5.65505191,9.398228945,3.80143154,3.959853131,3.289320604,13.61958978,9.054267775,9.135378085,17.64502509,17.86420989,31.11057576,13.6250804,26.93333453,48.23007021,17.75155848,23.94183261,15.54454487,21.07291926,21.87363921,19.10546926,4.4367936108,9
3.05013,949174,1203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4.215826351,5.185374816,8.484976559,3.20804441,3.910508888,3.011571668,13.54081445,8.725172957,9.351599071,20.56379587,20.53802763,31.0682945,13.36954047,23.44095802,44.63645187,17.41641864,26.17333762,16.09647824,20.68647731,22.66890251,18.14638047,3.6111232986,3
3.178699,949176,1203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4.009807905,5.388555827,9.596303887,3.44171562,3.92629335,3.024543874,14.7003085,8.92383431,9.05011206,20.97262654,20.31693799,34.57181026,12.67961681,27.21594374,49.09801301,18.22794733,27.79941956,15.18975714,23.58370317,20.72014366,18.40252236,2.7632899728,6
4.478511,949177,1203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5.065868447,4.617227257,6.965166438,3.184513007,3.547972398,2.919799748,12.24037927,8.708004924,8.744398555,21.69067982,20.94637612,35.59947164,11.22944105,19.88395589,36.45191721,17.01022708,28.13157543,16.54558493,22.4572955,21.36385638,18.35303277,4.1548940256,10
2.326094,949178,1203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4.678199378,5.92111336,9.276235082,3.638403204,3.570133445,2.958389798,12.04696621,8.764007596,9.542720827,22.68225441,21.76989571,34.7844425,11.9439606,25.26583927,47.17215117,17.10096601,27.65474315,16.01195695,22.39930863,23.94143532,19.92434674,2.5962883328,1
4.006904,949179,1203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,10.98196334,4.768727159,5.238839631,9.710254722,3.266580565,5.126172418,2.924202852,15.19028449,8.994465395,10.30863527,15.25268687,21.809263,35.4804503,18.84972006,26.20053556,53.29450586,16.84595257,20.29975641,15.43063563,26.78951143,27.02821597,23.22122607,2.8129359382,1
4.627221,1240181,1203,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4.803164529,5.452023695,10.14976215,3.639959394,4.22271828,3.298390245,12.60612647,8.806781431,8.71135883,11.28338318,18.82980332,33.6831064,15.58556503,27.87370347,54.3166827,16.16218411,25.52450108,15.75097221,19.9942305,20.69933924,18.27948039,5.1971905724,8
1.931479,688086,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.4785875,6.159237731,7.360646464,3.580446012,4.065998372,2.95881721,14.50630991,10.1692779,9.536691946,13.86071824,21.3508702,36.98272306,13.93457345,20.34228916,42.01021322,15.19851376,20.78781555,13.99811851,22.51205003,22.58134235,19.2498904,2.1873426223,4
2.488876,688087,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,5.51001936,5.51001936,0,3.295034677,6.535234437,8.143506582,3.79364486,5.629877771,2.925889033,14.67485222,8.742792046,8.591722075,12.44273112,18.66086071,30.89867933,19.71279963,22.71258434,43.23339092,14.79039806,24.86971436,14.87101839,18.77199332,18.33272899,16.57418463,2.4548083068,9
2.600367,717431,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.917086086,5.21811468,9.155817222,3.556187323,4.537270728,2.955795611,12.83724206,8.786151842,10.10769792,15.72228805,18.99221305,32.73021789,15.24237968,25.80604385,49.10358707,15.28196907,22.62110435,14.84753604,20.91991841,23.50262474,18.47302664,2.4303162831,9
1.898324,724828,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.585650496,5.408320316,10.7458966,4.151945864,4.918415765,3.069178304,11.40481694,9.865022619,9.005697196,22.62851352,20.23892815,35.74868131,16.9059762,30.49262149,57.0308526,18.06711897,24.56705257,17.02221484,17.68932559,18.67605545,16.79460847,2.2349410927,6
1.966569,753616,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.17935239,6.315000135,9.965804292,3.499441912,4.824062036,3.047565261,13.18267185,9.026491855,9.342648061,18.22621584,18.34160487,30.84182634,16.49753815,28.10990824,63.20343288,17.25691955,22.58305983,14.55342159,20.35128,19.87066037,18.38560967,2.2657228764,7
2.485924,753618,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.932586011,4.157431125,6.204096401,7.633737521,3.085293853,4.37823478,2.794076555,12.75262573,9.152276363,9.752611422,20.53264423,19.46023376,31.83645532,16.02432243,21.35333074,40.27666202,17.08702075,25.64356688,15.94784961,22.70225232,24.53803834,20.54068526,2.6404612673,6
2.81433,753620,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.995572653,5.477221528,8.640029765,3.449660341,4.773320002,3.049815998,12.9704558,9.539951598,9.184856494,18.27636177,19.33695361,31.93912533,17.94990322,24.98614708,49.13443381,15.10357654,22.11501766,14.18735987,21.41181021,21.46602319,19.80283688,2.7547900002,8
1.370288,906803,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.753747172,5.58970471,7.880418336,3.229875453,3.528727165,3.069443066,14.37868044,8.998003639,9.406980188,29.966422,26.32435616,44.90775741,10.13995101,21.91227919,38.87031413,17.60117621,29.25719087,17.59116599,19.89535799,19.6715681,16.8339033,0.8406736948,2
1.535719,907170,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.605443309,5.063510854,5.054356634,6.487002783,3.249824674,4.449527673,2.898629013,11.26156785,8.645559228,10.01353897,25.70191674,23.54630943,37.67555555,15.23984039,18.33240486,34.60862468,18.09670554,26.72455961,15.99818533,25.16029964,24.89620388,22.03420876,1.7476667269,7
1.983521,907314,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3.878066865,3.878066865,0,3.935271857,5.938098173,10.07601766,3.344626516,4.158510111,3.31585205,15.43678801,10.12427998,8.741863604,11.22563139,20.99540332,32.84475229,13.8520646,29.69782705,54.66406651,16.61617793,26.55039049,15.13946019,23.08908686,23.68406822,20.77874924,2.7206797673,4
3.809397,908447,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.583277505,5.954975638,10.52423598,3.391286815,4.09556059,3.054499444,12.15020502,9.002631042,9.186970341,14.15379003,18.71526539,31.68911723,13.20154094,29.99061041,59.51954453,16.0707921,26.56100648,15.23389387,20.58686832,21.68810887,19.54237166,3.3921650111,8
3.573091,910780,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.045812661,5.913073811,9.970720278,3.278228826,3.769665116,2.875237838,13.75654218,8.611779365,9.051686809,19.90007719,19.99869862,34.28622795,11.07962023,27.73815474,58.65861453,17.03316462,23.88841183,16.1918747,24.53127684,23.02729807,21.45159314,3.4499537,9
3.718497,925342,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.314916221,5.088692084,4.992109013,5.686440677,3.320294648,3.822975163,2.973021138,11.58421819,8.108984892,9.380501236,22.22506514,29.98605688,44.87003623,11.93897164,16.30146196,30.63978149,18.61856321,31.87981022,17.14494995,21.47841311,22.70979238,30.95534246,3.4243175461,1
2.254975,949171,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.80143154,0,3.43384796,5.65505191,9.398228945,3.80143154,3.959853131,3.289320604,13.61958978,9.054267775,9.135378085,17.64502509,17.86420989,31.11057576,13.6250804,26.93333453,48.23007021,17.75155848,23.94183261,15.54454487,21.07291926,21.87363921,19.10546926,2.458136758,3
2.001129,949172,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.622236098,0,3.790597483,6.600216818,9.173115341,3.622236098,5.32484941,3.023198615,13.92919115,11.14942211,8.325121443,22.63245768,20.99030738,36.4609921,17.46278424,27.59606802,47.64768437,17.02994137,22.41767904,14.91529162,19.61857775,20.3898618,16.69647269,1.8520358212,3
1.440872,949174,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.215826351,5.185374816,8.484976559,3.20804441,3.910508888,3.011571668,13.54081445,8.725172957,9.351599071,20.56379587,20.53802763,31.0682945,13.36954047,23.44095802,44.63645187,17.41641864,26.17333762,16.09647824,20.68647731,22.66890251,18.14638047,1.8831956739,10
2.666431,949176,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.009807905,5.388555827,9.596303887,3.44171562,3.92629335,3.024543874,14.7003085,8.92383431,9.05011206,20.97262654,20.31693799,34.57181026,12.67961681,27.21594374,49.09801301,18.22794733,27.79941956,15.18975714,23.58370317,20.72014366,18.40252236,1.9534033821,1
2.573014,949177,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.065868447,4.617227257,6.965166438,3.184513007,3.547972398,2.919799748,12.24037927,8.708004924,8.744398555,21.69067982,20.94637612,35.59947164,11.22944105,19.88395589,36.45191721,17.01022708,28.13157543,16.54558493,22.4572955,21.36385638,18.35303277,2.7517627093,8
3.020109,949178,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.678199378,5.92111336,9.276235082,3.638403204,3.570133445,2.958389798,12.04696621,8.764007596,9.542720827,22.68225441,21.76989571,34.7844425,11.9439606,25.26583927,47.17215117,17.10096601,27.65474315,16.01195695,22.39930863,23.94143532,19.92434674,3.2223307325,5
3.600106,949179,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.98196334,4.768727159,5.238839631,9.710254722,3.266580565,5.126172418,2.924202852,15.19028449,8.994465395,10.30863527,15.25268687,21.809263,35.4804503,18.84972006,26.20053556,53.29450586,16.84595257,20.29975641,15.43063563,26.78951143,27.02821597,23.22122607,3.6156903039,9
4.627221,1240181,1219,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.803164529,5.452023695,10.14976215,3.639959394,4.22271828,3.298390245,12.60612647,8.806781431,8.71135883,11.28338318,18.82980332,33.6831064,15.58556503,27.87370347,54.3166827,16.16218411,25.52450108,15.75097221,19.9942305,20.69933924,18.27948039,4.6397935172,4
-1.051665,688086,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.4785875,6.159237731,7.360646464,3.580446012,4.065998372,2.95881721,14.50630991,10.1692779,9.536691946,13.86071824,21.3508702,36.98272306,13.93457345,20.34228916,42.01021322,15.19851376,20.78781555,13.99811851,22.51205003,22.58134235,19.2498904,-0.929897531,7
-0.92863,688087,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,5.51001936,5.51001936,0,3.295034677,6.535234437,8.143506582,3.79364486,5.629877771,2.925889033,14.67485222,8.742792046,8.591722075,12.44273112,18.66086071,30.89867933,19.71279963,22.71258434,43.23339092,14.79039806,24.86971436,14.87101839,18.77199332,18.33272899,16.57418463,-1.017528585,4
-0.449312,717431,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.917086086,5.21811468,9.155817222,3.556187323,4.537270728,2.955795611,12.83724206,8.786151842,10.10769792,15.72228805,18.99221305,32.73021789,15.24237968,25.80604385,49.10358707,15.28196907,22.62110435,14.84753604,20.91991841,23.50262474,18.47302664,0.1115877916,3
-1.369499,724828,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.585650496,5.408320316,10.7458966,4.151945864,4.918415765,3.069178304,11.40481694,9.865022619,9.005697196,22.62851352,20.23892815,35.74868131,16.9059762,30.49262149,57.0308526,18.06711897,24.56705257,17.02221484,17.68932559,18.67605545,16.79460847,-1.633210249,9
-1.195281,753616,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.17935239,6.315000135,9.965804292,3.499441912,4.824062036,3.047565261,13.18267185,9.026491855,9.342648061,18.22621584,18.34160487,30.84182634,16.49753815,28.10990824,63.20343288,17.25691955,22.58305983,14.55342159,20.35128,19.87066037,18.38560967,-1.125549113,1
-0.022702,753618,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6.932586011,4.157431125,6.204096401,7.633737521,3.085293853,4.37823478,2.794076555,12.75262573,9.152276363,9.752611422,20.53264423,19.46023376,31.83645532,16.02432243,21.35333074,40.27666202,17.08702075,25.64356688,15.94784961,22.70225232,24.53803834,20.54068526,0.3355773148,1
0.112936,753620,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.995572653,5.477221528,8.640029765,3.449660341,4.773320002,3.049815998,12.9704558,9.539951598,9.184856494,18.27636177,19.33695361,31.93912533,17.94990322,24.98614708,49.13443381,15.10357654,22.11501766,14.18735987,21.41181021,21.46602319,19.80283688,0.6595928683,10
-2.562918,906803,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.753747172,5.58970471,7.880418336,3.229875453,3.528727165,3.069443066,14.37868044,8.998003639,9.406980188,29.966422,26.32435616,44.90775741,10.13995101,21.91227919,38.87031413,17.60117621,29.25719087,17.59116599,19.89535799,19.6715681,16.8339033,-1.792449711,9
0.442514,907170,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4.605443309,5.063510854,5.054356634,6.487002783,3.249824674,4.449527673,2.898629013,11.26156785,8.645559228,10.01353897,25.70191674,23.54630943,37.67555555,15.23984039,18.33240486,34.60862468,18.09670554,26.72455961,15.99818533,25.16029964,24.89620388,22.03420876,0.1230945501,5
-0.560936,907314,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,3.878066865,3.878066865,0,3.935271857,5.938098173,10.07601766,3.344626516,4.158510111,3.31585205,15.43678801,10.12427998,8.741863604,11.22563139,20.99540332,32.84475229,13.8520646,29.69782705,54.66406651,16.61617793,26.55039049,15.13946019,23.08908686,23.68406822,20.77874924,-0.52827375,9
-0.803334,908447,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.583277505,5.954975638,10.52423598,3.391286815,4.09556059,3.054499444,12.15020502,9.002631042,9.186970341,14.15379003,18.71526539,31.68911723,13.20154094,29.99061041,59.51954453,16.0707921,26.56100648,15.23389387,20.58686832,21.68810887,19.54237166,-0.827034673,10
1.390216,910780,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.045812661,5.913073811,9.970720278,3.278228826,3.769665116,2.875237838,13.75654218,8.611779365,9.051686809,19.90007719,19.99869862,34.28622795,11.07962023,27.73815474,58.65861453,17.03316462,23.88841183,16.1918747,24.53127684,23.02729807,21.45159314,1.5044455005,9
1.134546,925342,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,7.314916221,5.088692084,4.992109013,5.686440677,3.320294648,3.822975163,2.973021138,11.58421819,8.108984892,9.380501236,22.22506514,29.98605688,44.87003623,11.93897164,16.30146196,30.63978149,18.61856321,31.87981022,17.14494995,21.47841311,22.70979238,30.95534246,0.6609430168,10
-0.756842,949171,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3.80143154,0,3.43384796,5.65505191,9.398228945,3.80143154,3.959853131,3.289320604,13.61958978,9.054267775,9.135378085,17.64502509,17.86420989,31.11057576,13.6250804,26.93333453,48.23007021,17.75155848,23.94183261,15.54454487,21.07291926,21.87363921,19.10546926,-0.436146994,5
-1.147988,949172,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3.622236098,0,3.790597483,6.600216818,9.173115341,3.622236098,5.32484941,3.023198615,13.92919115,11.14942211,8.325121443,22.63245768,20.99030738,36.4609921,17.46278424,27.59606802,47.64768437,17.02994137,22.41767904,14.91529162,19.61857775,20.3898618,16.69647269,-1.515108441,4
2.972076,949174,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.215826351,5.185374816,8.484976559,3.20804441,3.910508888,3.011571668,13.54081445,8.725172957,9.351599071,20.56379587,20.53802763,31.0682945,13.36954047,23.44095802,44.63645187,17.41641864,26.17333762,16.09647824,20.68647731,22.66890251,18.14638047,2.6372561018,7
-0.698013,949176,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.009807905,5.388555827,9.596303887,3.44171562,3.92629335,3.024543874,14.7003085,8.92383431,9.05011206,20.97262654,20.31693799,34.57181026,12.67961681,27.21594374,49.09801301,18.22794733,27.79941956,15.18975714,23.58370317,20.72014366,18.40252236,-0.571457781,9
1.384067,949177,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.065868447,4.617227257,6.965166438,3.184513007,3.547972398,2.919799748,12.24037927,8.708004924,8.744398555,21.69067982,20.94637612,35.59947164,11.22944105,19.88395589,36.45191721,17.01022708,28.13157543,16.54558493,22.4572955,21.36385638,18.35303277,1.1438026971,6
-0.35079,949178,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.678199378,5.92111336,9.276235082,3.638403204,3.570133445,2.958389798,12.04696621,8.764007596,9.542720827,22.68225441,21.76989571,34.7844425,11.9439606,25.26583927,47.17215117,17.10096601,27.65474315,16.01195695,22.39930863,23.94143532,19.92434674,-0.148423514,4
1.042414,949179,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10.98196334,4.768727159,5.238839631,9.710254722,3.266580565,5.126172418,2.924202852,15.19028449,8.994465395,10.30863527,15.25268687,21.809263,35.4804503,18.84972006,26.20053556,53.29450586,16.84595257,20.29975641,15.43063563,26.78951143,27.02821597,23.22122607,0.4094507811,5
1.752434,1240181,1242,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.803164529,5.452023695,10.14976215,3.639959394,4.22271828,3.298390245,12.60612647,8.806781431,8.71135883,11.28338318,18.82980332,33.6831064,15.58556503,27.87370347,54.3166827,16.16218411,25.52450108,15.75097221,19.9942305,20.69933924,18.27948039,1.2084936564,3
-0.732014,688086,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4.4785875,6.159237731,7.360646464,3.580446012,4.065998372,2.95881721,14.50630991,10.1692779,9.536691946,13.86071824,21.3508702,36.98272306,13.93457345,20.34228916,42.01021322,15.19851376,20.78781555,13.99811851,22.51205003,22.58134235,19.2498904,-0.537653972,1
-2.147437,688087,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,5.51001936,5.51001936,0,3.295034677,6.535234437,8.143506582,3.79364486,5.629877771,2.925889033,14.67485222,8.742792046,8.591722075,12.44273112,18.66086071,30.89867933,19.71279963,22.71258434,43.23339092,14.79039806,24.86971436,14.87101839,18.77199332,18.33272899,16.57418463,-1.085031036,1
-0.991665,717431,1372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3.917086086,5.21811468,9.155817222,3.556187323,4.537270728,2.955795611,12.83724206,8.786151842,10.10769792,15.72228805,18.99221305,32.73021789,15.24237968,25.80604385,49.10358707,15.28196907,22.62110435,14.84753604,20.91991841,23.50262474,18.47302664,-1.041861528,6
